target_approval_rate,actual_approval_rate,approved_applications,score_cutoff,mean_approved_pd,observed_approved_default_rate,expected_loss,expected_profit,expected_profit_per_approval
0.2,0.2,600,0.0688622754491018,0.05745202174113397,0.06833333333333333,293644.56817427895,290631.1214082862,484.38520234714366
0.25,0.25,750,0.0688622754491018,0.059734072482727545,0.06933333333333333,381673.89979344065,368835.5373639934,491.78071648532455
0.3,0.3,900,0.0718232044198895,0.06172662304507521,0.08,481842.809426494,487316.5799326753,541.4628665918615
0.35,0.35,1050,0.12,0.06532101536603283,0.08666666666666667,587475.684631296,577362.6803148006,549.8692193474292
0.4,0.4,1200,0.12962962962962965,0.07279786375392071,0.09416666666666666,742375.8832129256,628062.0592704508,523.3850493920423
0.45,0.45,1350,0.1568627450980392,0.08060471157356508,0.10222222222222223,924404.4704512435,697669.2581845036,516.7920430996323
0.5,0.5,1500,0.1568627450980392,0.0882305149260125,0.10733333333333334,1137114.0461375178,718698.0457386351,479.13203049242344
0.55,0.55,1650,0.19248826291079812,0.09618948043415582,0.11272727272727273,1396108.7705323498,729270.9243854561,441.98237841542795
0.6,0.6,1800,0.19248826291079812,0.104214378973876,0.12277777777777778,1675571.9649351668,725943.4710280232,403.30192834890175
0.65,0.65,1950,0.22371364653243847,0.11210957592794345,0.13538461538461538,2001299.1092887414,693314.3153927571,355.54580276551644
0.7,0.7,2100,0.22371364653243847,0.12008129525683593,0.1442857142857143,2335552.48566458,668854.4945091645,318.5021402424593
0.75,0.75,2250,0.22371364653243847,0.12699011867520946,0.1497777777777778,2643561.829333484,662338.8964262758,294.3728428561226
0.8,0.8,2400,0.22371364653243847,0.1330353391662863,0.16125,2945031.342264133,629217.6073542926,262.1740030642886
0.85,0.85,2550,0.2864864864864865,0.14114176012719637,0.17333333333333334,3376101.7410909683,545077.905506667,213.75604137516353
0.9,0.9,2700,0.3023255813953488,0.1494829031136155,0.18555555555555556,3834270.1720690215,421522.7433339468,156.11953456812844
